Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,LatDiff,LongDiff
750 ROSE ST,Gatehouse Roach Bldg,Gatehouse Roach Bldg,84,84,Lexington,Lexington,0,0,KY,KY,40506,40506,38.032567,0.001073,1
151 HOSPITAL DR,151 HOSPITAL DR,Medical Center Heating and Cooling Plant,Medical Center Heating and Cooling Plant,85,85,Lexington,Lexington,0,0,KY,KY,40536,40536,38.0316,-84.508214
1100 VETERANS DR,1100 VETERANS DR,College of Medicine Office Bldg,College of Medicine Office Bldg,86,86,Lexington,Lexington,0,0,KY,KY,40536,40536,38.028938,-84.506316
1530 COLLEGE WAY,1530 COLLEGE WAY,Medical Center Storage Facility,Medical Center Storage Facility,87,87,Lexington,Lexington,0,0,KY,KY,40536,40536,38.021369,-84.502069
1505 COLLEGE WAY,1505 COLLEGE WAY,Agriculture Motor Pool,Agriculture Motor Pool,88,88,Lexington,Lexington,0,0,KY,KY,40546,40546,38.021608,-84.502162
195 HOSPITAL DR,195 HOSPITAL DR,Cooling Plant #1,Cooling Plant #1,89,89,Lexington,Lexington,0,0,KY,KY,40506,40506,38.0316,-84.508214
236 BOLIVAR AVE,236 BOLIVAR AVE,University Lofts,University Lofts,90,90,Lexington,Lexington,0,0,KY,KY,40508,40508,38.042542,-84.506675
1100 SOUTH LIMESTONE ST,1100 SOUTH LIMESTONE ST,Agriculture Science Center North,Agriculture Science Center North,91,91,Lexington,Lexington,0,0,KY,KY,40546,40546,38.029911,-84.510024
150 HOSPITAL DR,150 HOSPITAL DR,Seed House,Seed House,92,92,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
750 ROSE ST,750 ROSE ST,Ben Roach Cancer Care Facility,Ben Roach Cancer Care Facility,93,93,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032456,-84.507403
1312 NICHOLASVILLE RD,1312 NICHOLASVILLE RD,Cooper House,Cooper House,94,94,Lexington,Lexington,0,0,KY,KY,40546,40546,38.027959,-84.510708
344 SOUTH MLK BLVD,344 SOUTH MLK BLVD,Champions Court I,Champions Court I,95,95,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041298,-84.500973
181 AVENUE OF CHAMPIONS,181 AVENUE OF CHAMPIONS,Coffee Shop / Study Space - Champions I - proposed,Coffee Shop / Study Space - Champions I - proposed,0095A,0095A,Lexington,Lexington,0,0,KY,KY,40506,40506,,
744 ROSE ST,744 ROSE ST,Combs Cancer Research Center,Combs Cancer Research Center,96,96,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032456,-84.507403
1451 UNIVERSITY DR,1451 UNIVERSITY DR,E. S. Goodbarn,E. S. Goodbarn,97,97,Lexington,Lexington,0,0,KY,KY,40546,40546,38.021847,-84.509461
740 ROSE ST,740 ROSE ST,Whitney-Hendrickson Cancer Facility for Women (Pavilion WH),Whitney-Hendrickson Cancer Facility for Women (Pavilion WH),98,98,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032456,-84.507403
1400 NICHOLASVILLE RD,1400 NICHOLASVILLE RD,Gluck Equine Research Bldg,Gluck Equine Research Bldg,99,99,Lexington,Lexington,0,0,KY,KY,40546,40546,38.025674,-84.510817
325 HUGUELET DR,325 HUGUELET DR,Haggin Hall,Haggin Hall,100,100,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031734,-84.504161
349 SCOTT ST,349 SCOTT ST,Reynolds Warehouse #1,Reynolds Warehouse #1,101,101,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039873,-84.507131
351 SCOTT ST,351 SCOTT ST,Reynolds Warehouse #2,Reynolds Warehouse #2,102,102,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041971,-84.50879
347 SCOTT ST,347 SCOTT ST,Reynolds Warehouse #3,Reynolds Warehouse #3,103,103,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041674,-84.509074
720 WOODLAND AVE,720 WOODLAND AVE,Woodland Glen I,Woodland Glen I,104,104,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031287,-84.50057
1435 NICHOLASVILLE RD,1435 NICHOLASVILLE RD,Commonwealth Village #2,Commonwealth Village #2,105,105,Lexington,Lexington,0,0,KY,KY,40503,40503,38.025621,-84.511568
1435 NICHOLASVILLE RD,1435 NICHOLASVILLE RD,Commonwealth Village #1,Commonwealth Village #1,106,106,Lexington,Lexington,0,0,KY,KY,40503,40503,38.025621,-84.511568
504 ROSE ST,504 ROSE ST,Mining & Minerals Research Bldg,Mining & Minerals Research Bldg,107,107,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034849,-84.503367
143 GRAHAM AVE,143 GRAHAM AVE,Robotics Facility,Robotics Facility,108,108,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035496,-84.505746
550 WILDCAT CT,550 WILDCAT CT,Wendell & Vickie Bell Soccer Complex,Wendell & Vickie Bell Soccer Complex,109,109,Lexington,Lexington,0,0,KY,KY,40506,40506,38.018792,-84.501172
704 SPORTS CENTER DR,704 SPORTS CENTER DR,Maintenance Bldg (Athletics),Maintenance Bldg (Athletics),110,110,Lexington,Lexington,0,0,KY,KY,40506,40506,38.027044,-84.500178
712 SPORTS CENTER DR,712 SPORTS CENTER DR,Shively Sports Center,Shively Sports Center,113,113,Lexington,Lexington,0,0,KY,KY,40506,40506,38.027044,-84.500178
HEDGER LN,HEDGER LN,Seigler Hall (UAV Shed),Seigler Hall (UAV Shed),116,116,Lexington,Lexington,0,0,KY,KY,40516,40516,,
570 WILDCAT CT,570 WILDCAT CT,Soccer Filming Tower,Soccer Filming Tower,117,117,Lexington,Lexington,0,0,KY,KY,40506,40506,38.018792,-84.501172
454 HILLTOP AVE,454 HILLTOP AVE,Fraternity House Storage,Fraternity House Storage,118,118,Lexington,Lexington,0,0,KY,KY,40508,40508,38.032207,-84.502639
400 ROSE ST,400 ROSE ST,Helen King Alumni Building,Helen King Alumni Building,119,119,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037521,-84.499817
650 WOODLAND AVE,650 WOODLAND AVE,Woodland Glen II,Woodland Glen II,120,120,Lexington,Lexington,0,0,KY,KY,40506,40506,38.032115,-84.499403
422 ROSE LN,422 ROSE LN,Sigma Nu Fraternity,Sigma Nu Fraternity,121,121,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035099,-84.499576
450 PENNSYLVANIA AVE,450 PENNSYLVANIA AVE,Delta Gamma Sorority,Delta Gamma Sorority,122,122,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034071,-84.499518
326 SOUTH MLK BLVD,326 SOUTH MLK BLVD,Champions Court II,Champions Court II,123,123,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041656,-84.500552
319 COLUMBIA TER,319 COLUMBIA TER,Delta Zeta Sorority,Delta Zeta Sorority,124,124,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035432,-84.502013
329 COLUMBIA TER,329 COLUMBIA TER,Kappa Alpha Theta Sorority,Kappa Alpha Theta Sorority,125,125,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035522,-84.501883
327 COLUMBIA TER,327 COLUMBIA TER,Phi Delta Theta Fraternity,Phi Delta Theta Fraternity,126,126,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035227,-84.500974
