Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",343 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,5/11/2015 12:00,5,Closed,343 SOUTH MARTIN LUTHER KING BLVD,20151126,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,343 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",758 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,5/11/2015 15:32,5,Closed,758 WOODLAND AVE,20151113,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,758 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,120 GRAHAM AVE  ,Lexington,Kentucky,United States of America,Theft,5/11/2015 21:45,5,Open,120 GRAHAM AVE,20151112,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,120 GRAHAM AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/12/2015 23:00,5,Open,1000 SOUTH LIMESTONE ST,20151114,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,830 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/15/2015 17:00,5,Closed,830 SOUTH LIMESTONE ST,20151127,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,830 SOUTH LIMESTONE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,5/21/2015 4:30,5,Open,110 TRANSCRIPT AVE,20151168,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Open,110 TRANSCRIPT AVE
TBUT OR DISP BICYCLES U/$500/M,900 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/22/2015 9:30,5,Open,900 SOUTH LIMESTONE ST,20151172,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,900 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,1608 UNIVERSITY CT  ,Lexington,Kentucky,United States of America,Theft,5/23/2015 13:00,5,Open,1608 UNIVERSITY CT,20151185,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,1608 UNIVERSITY CT
TBUT OR DISP FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/24/2015 1:07,5,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150488,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/24/2015 23:00,5,Closed,1000 SOUTH LIMESTONE ST,20151183,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/25/2015 22:00,5,Closed,1000 SOUTH LIMESTONE ST,20151193,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, UNAUTHORIZED SIGNATURE ON CREDIT CARD/M, TBUT OR DISP FROM BUILDING U/$500/M",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,5/26/2015 12:00,5,Open,800 ROSE ST,20151192,"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, UNAUTHORIZED SIGNATURE ON CREDIT CARD/M, TBUT OR DISP FROM BUILDING U/$500/M",Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/27/2015 1:00,5,Closed,1000 SOUTH LIMESTONE ST,20151194,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,"CARRER DE PELAI, 22-24, 08001, BARCELONA, SPAIN  ",Lexington,Kentucky,United States of America,Theft,5/27/2015 1:40,5,Closed CSA,"CARRER DE PELAI, 22-24, 08001, BARCELONA, SPAIN",CSA20150487,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed CSA,"CARRER DE PELAI, 22-24, 08001, BARCELONA, SPAIN"
TBUT OR DISP FROM BUILDING U/$500,504 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,5/28/2015 1:00,5,Closed,504 ROSE STREET,20151247,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,504 ROSE STREET
"TBUT OR DISP FROM BUILDING FROM BUILDING $500 OR MORE BUT U/$10,000/F",140 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,5/28/2015 20:30,5,Closed,140 PATTERSON DR,20151229,"TBUT OR DISP FROM BUILDING FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,140 PATTERSON DR
TBUT FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/2/2015 2:30,6,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150521,TBUT FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
TBUT OF DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,6/2/2015 11:15,6,Closed,1000 SOUTH LIMESTONE,20151242,TBUT OF DISP FROM BUILDING U/$500,Theft,Closed,1000 SOUTH LIMESTONE
TBUT OR DISP BICYCLES U/$500,675 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,6/5/2015 11:30,6,Open,675 ROSE STREET,20151277,TBUT OR DISP BICYCLES U/$500,Theft,Open,675 ROSE STREET
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",364 AYLESFORD PL  ,Lexington,Kentucky,United States of America,Theft,6/6/2015 3:00,6,Closed Lexington Police Report,364 AYLESFORD PL,2015093046,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed Lexington Police Report,364 AYLESFORD PL
"TBUT OF DISP FROM BUILDING U/$500, TBUT OF DISP AUTO- $500 OR MORE BUT U/$10,000",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/6/2015 16:10,6,Cleared By Arrest,310 SOUTH LIMESTONE ST,20151265,"TBUT OF DISP FROM BUILDING U/$500, TBUT OF DISP AUTO- $500 OR MORE BUT U/$10,000",Theft,Cleared By Arrest,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,6/8/2015 15:30,6,Closed,310 SOUTH LIMESTONE,20151278,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",845 RED MILE RD  ,Lexington,Kentucky,United States of America,Theft,6/9/2015 2:00,6,Closed Lexington Police Report,845 RED MILE RD,2015094264,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed Lexington Police Report,845 RED MILE RD
"THEFT OF IDENTITY OF ANOTHER W/O CONSENT, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD(>2 CARD) AND TBUT OR DISP FROM BUILDING U/$500",1000 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,6/9/2015 4:45,6,Open,1000 SOUTH LIMESTONE,20151280,"THEFT OF IDENTITY OF ANOTHER W/O CONSENT, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD(>2 CARD) AND TBUT OR DISP FROM BUILDING U/$500",Theft,Open,1000 SOUTH LIMESTONE
TBUT OR DISP BICYCLES U/$500/M,408 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/9/2015 12:00,6,Closed Lexington Police Report,408 ROSE ST,2015094845,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed Lexington Police Report,408 ROSE ST
"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CRED CARD AFTER REPORT LOST/STOLEN U/$500 W/6 MONTHS/M",135 EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Theft,6/10/2015 18:45,6,Closed,135 EAST MAXWELL ST,20151288,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CRED CARD AFTER REPORT LOST/STOLEN U/$500 W/6 MONTHS/M",Theft,Closed,135 EAST MAXWELL ST
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000,F",675 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/12/2015 13:00,6,Closed,675 ROSE ST,20151309,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000,F",Theft,Closed,675 ROSE ST
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,6/12/2015 19:00,6,Closed,WOODLAND AVE,20151308,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,WOODLAND AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",150 HOSPITAL DR  ,Lexington,Kentucky,United States of America,Theft,6/15/2015 12:00,6,Closed,150 HOSPITAL DR,20151366,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,150 HOSPITAL DR
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/15/2015 12:00,6,Open,800 ROSE ST,20160194,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/16/2015 12:00,6,Open,800 ROSE ST,20151339,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/17/2015 16:30,6,Closed,310 SOUTH LIMESTONE ST,20151354,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,120 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,6/18/2015 14:00,6,Closed,120 PATTERSON DR,20151386,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,120 PATTERSON DR
TBUT OR DISP FROM BUILDING U$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/19/2015 17:00,6,Unfounded,1000 SOUTH LIMESTONE ST,20151381,TBUT OR DISP FROM BUILDING U$500/M,Theft,Unfounded,1000 SOUTH LIMESTONE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",360 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,6/19/2015 19:00,6,Closed,360 HUGUELET DR,20151375,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed,360 HUGUELET DR
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/22/2015 19:30,6,Open,1000 SOUTH LIMESTONE ST,20151389,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,1000 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,6/23/2015 0:15,6,Closed CSA,650 WOODLAND AVE,CSA20150597,TBUT OR DISP BICYCLES,Theft,Closed CSA,650 WOODLAND AVE
TBUT OR DISP BICYCLE U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/23/2015 10:45,6,Closed,1000 SOUTH LIMESTONE ST,20151400,TBUT OR DISP BICYCLE U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,6/23/2015 22:00,6,Closed,310 SOUTH LIMESTONE ST,20151399,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,6/23/2015 22:30,6,Closed,440 HILLTOP AVE,20151478,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,440 HILLTOP AVE
TBUT OR DISP BICYCLES U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/25/2015 12:00,6,Closed,800 ROSE ST,20151409,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,6/25/2015 18:00,6,Closed,500 ALUMNI DR,20151410,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,500 ALUMNI DR
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",675 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/26/2015 11:45,6,Closed,675 ROSE ST,20151417,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Closed,675 ROSE ST
"TBUT OR DISP FARM EQUIP $500 OR MORE BUT U/$10,000",4321 EMMERT FARM LN  ,Lexington,Kentucky,United States of America,Theft,6/26/2015 21:00,6,Open,4321 EMMERT FARM LN,20152069,"TBUT OR DISP FARM EQUIP $500 OR MORE BUT U/$10,000",Theft,Open,4321 EMMERT FARM LN
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/26/2015 23:00,6,Closed,800 ROSE ST,20151425,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/27/2015 16:00,6,Closed,800 ROSE ST,20151448,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP ALL OTHERS U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/29/2015 20:30,6,Closed Lexington Police Report,800 ROSE ST,2015108091,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed Lexington Police Report,800 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",412 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/29/2015 21:45,6,Open,412 ROSE ST,20151443,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,412 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,6/30/2015 3:45,6,Open,800 ROSE ST,20151669,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500,1405 VETERANS DRIVE  ,Lexington,Kentucky,United States of America,Theft,7/1/2015 12:00,7,Closed,1405 VETERANS DRIVE,20160885,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,1405 VETERANS DRIVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/2/2015 10:30,7,Closed,1000 SOUTH LIMESTONE ST,20151452,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/2/2015 13:30,7,Closed,310 SOUTH LIMESTONE ST,20151458,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,7/5/2015 3:59,7,Closed,401 HILLTOP AVE,20151477,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,401 HILLTOP AVE
BURGLARY 2ND/F,429 COLUMBIA AVE  ,Lexington,Kentucky,United States of America,Theft,7/5/2015 12:00,7,Open,429 COLUMBIA AVE,20151843,BURGLARY 2ND/F,Theft,Open,429 COLUMBIA AVE
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,7/6/2015 2:30,7,Open,800 ROSE ST,20151473,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/6/2015 21:30,7,Closed,1000 SOUTH LIMESTONE ST,20151480,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,7/7/2015 9:14,7,Open,800 ROSE ST,20152794,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Open,800 ROSE ST
"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F; RECEIVING STOLEN PROPERTY U/$10,000/F",410 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,7/7/2015 11:15,7,Open,410 ADMINISTRATION DR,20151492,"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F; RECEIVING STOLEN PROPERTY U/$10,000/F",Theft,Open,410 ADMINISTRATION DR
THEFT,"LAKE CUMBERLAND 4-H CENTER, WAYNE COUNTY,   ",Lexington,Kentucky,United States of America,Theft,7/7/2015 12:00,7,Closed CSA,"LAKE CUMBERLAND 4-H CENTER, WAYNE COUNTY, KY",CSA20151184,THEFT,Theft,Closed CSA,"LAKE CUMBERLAND 4-H CENTER, WAYNE COUNTY, KY"
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",129 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,7/7/2015 22:30,7,Open,129 TRANSCRIPT AVE,20151508,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,129 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/7/2015 23:00,7,Closed,310 SOUTH LIMESTONE ST,20151491,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TUBT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,7/9/2015 1:00,7,Open,650 WOODLAND AVE,20151498,"TUBT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,650 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/9/2015 2:00,7,Open,1000 SOUTH LIMESTONE ST,20151553,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1000 SOUTH LIMESTONE ST
"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",140 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,7/9/2015 19:39,7,Closed,140 HUGUELET DR,20151505,"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",Theft,Closed,140 HUGUELET DR
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/10/2015 0:43,7,Unfounded,310 SOUTH LIMESTONE ST,20151504,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Unfounded,310 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/10/2015 12:00,7,Closed,310 SOUTH LIMESTONE ST,20151520,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,310 SOUTH LIMESTONE ST
"THEFT BY DECEPTION-INCLUDE COLD CHECKS $10,000 OR MORE/F",845 RED MILE RD  ,Lexington,Kentucky,United States of America,Theft,7/12/2015 12:00,7,Closed,845 RED MILE RD,20152110,"THEFT BY DECEPTION-INCLUDE COLD CHECKS $10,000 OR MORE/F",Theft,Closed,845 RED MILE RD
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,7/13/2015 13:30,7,Closed,1540 UNIVERSITY DR,20151537,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP SHOPLIFTING U/$500/M,334 LEXINGTON AVE  ,Lexington,Kentucky,United States of America,Theft,7/15/2015 14:50,7,Closed,334 LEXINGTON AVE,20151551,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Closed,334 LEXINGTON AVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/16/2015 16:30,7,Closed Cleared By Exception,310 SOUTH LIMESTONE ST,20151568,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed Cleared By Exception,310 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,408 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,7/17/2015 22:25,7,Closed,408 ROSE ST,20151582,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,408 ROSE ST
TBUT OF DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,7/20/2015 12:00,7,Closed,800 ROSE ST,20151723,TBUT OF DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",625 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/20/2015 22:00,7,Closed,625 SOUTH LIMESTONE ST,20151617,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Closed,625 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M - ATTEMPT X2, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M X2",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,7/20/2015 23:30,7,Closed,430 COMPLEX DR,20151610,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M - ATTEMPT X2, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M X2",Theft,Closed,430 COMPLEX DR
"TBUT OR DISP FROM AUTO $500 OR MORE BUT U/$10,000/F",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,7/22/2015 2:00,7,Open,110 TRANSCRIPT AVE,20151632,"TBUT OR DISP FROM AUTO $500 OR MORE BUT U/$10,000/F",Theft,Open,110 TRANSCRIPT AVE
THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/22/2015 2:00,7,Closed Lexington Police Report,740 SOUTH LIMESTONE ST,2015122487,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed Lexington Police Report,740 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/23/2015 5:55,7,Closed Lexington Police Report,310 SOUTH LIMESTONE ST,2015123314,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed Lexington Police Report,310 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/27/2015 9:00,7,Closed,1000 SOUTH LIMESTONE ST,20151663,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F",740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/29/2015 19:00,7,Open,740 SOUTH LIMESTONE ST,20151733,"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F",Theft,Open,740 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/m,300 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,7/31/2015 2:00,7,Closed,300 ALUMNI DR,20151688,TBUT OR DISP ALL OTHERS U/$500/m,Theft,Closed,300 ALUMNI DR
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,7/31/2015 14:30,7,Closed,310 SOUTH LIMESTONE ST,20151689,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
BURGLARY 3RD/F,151 WASHINGTON AVE  ,Lexington,Kentucky,United States of America,Theft,7/31/2015 21:00,7,Closed,151 WASHINGTON AVE,20151819,BURGLARY 3RD/F,Theft,Closed,151 WASHINGTON AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/1/2015 1:00,8,Closed,1000 SOUTH LIMESTONE ST,20151719,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/1/2015 11:00,8,Closed,1000 SOUTH LIMESTONE ST,20151729,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/2/2015 3:38,8,Closed,1000 SOUTH LIMESTONE ST,20152373,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,140 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,8/2/2015 19:00,8,Closed,140 HUGUELET DR,20151720,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,140 HUGUELET DR
TBUT OR DISP FROM BUILDING U/$500/M,740 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,8/2/2015 22:00,8,Closed,740 ROSE ST,20151737,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,740 ROSE ST
