Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP ALL OTHERS U/$500/M,770 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,2/10/2015 2:00,2,Closed,770 WOODLAND AVE,20150378,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,770 WOODLAND AVE
TBUT OR DISP CONTENTS FROM AUTO,633 MAXWELTON CT  ,Lexington,Kentucky,United States of America,Theft,2/10/2015 5:00,2,Closed CSA,633 MAXWELTON CT,CSA20150161,TBUT OR DISP CONTENTS FROM AUTO,Theft,Closed CSA,633 MAXWELTON CT
THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,531 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,2/10/2015 12:30,2,Closed,531 PATTERSON DR,20150374,THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500/M,Theft,Closed,531 PATTERSON DR
TBUT OR DISP ALL OTHERS U/$500/M,HOSPITAL DR & ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/10/2015 22:00,2,Closed,HOSPITAL DR & ROSE ST,20150377,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,HOSPITAL DR & ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,120 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,2/11/2015 13:00,2,Closed,120 PATTERSON DR,20150942,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,120 PATTERSON DR
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",465 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/11/2015 18:00,2,Closed,465 ROSE ST,20150376,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,465 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,150 PATTERSON  DR  ,Lexington,Kentucky,United States of America,Theft,2/12/2015 17:30,2,Open,150 PATTERSON  DR,20150389,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,150 PATTERSON  DR
FRAD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/13/2015 17:00,2,Open,401 HILLTOP AVE,20150417,FRAD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,Theft,Open,401 HILLTOP AVE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/14/2015 22:00,2,Closed Cleared By Exception,1000 SOUTH LIMESTONE ST,20150419,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,Theft,Closed Cleared By Exception,1000 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,2/15/2015 21:40,2,Open,430 COMPLEX DR,20150425,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,430 COMPLEX DR
TBUT DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/18/2015 13:00,2,Closed N/A,310 SOUTH LIMESTONE ST,201505276,TBUT DISP FROM BUILDING U/$500/M,Theft,Closed N/A,310 SOUTH LIMESTONE ST
"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",447 PENNSYLVANIA AVE  ,Lexington,Kentucky,United States of America,Theft,2/22/2015 4:59,2,Closed,447 PENNSYLVANIA AVE,20150474,"TBUT OR DISP ALL OTHERS $500 ORE MORE BUT U/$10,000/F",Theft,Closed,447 PENNSYLVANIA AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F x2",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/23/2015 5:30,2,Open,310 SOUTH LIMESTONE ST,20150471,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F x2",Theft,Open,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/23/2015 13:00,2,Open,800 ROSE ST,20150694,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,800 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/23/2015 17:00,2,Open,740 SOUTH LIMESTONE ST,20150493,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,740 SOUTH LIMESTONE ST
TBUT OR DISP SHOPLIFTING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,2/23/2015 19:00,2,Open,180 AVENUE OF CHAMPIONS,20150496,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Open,180 AVENUE OF CHAMPIONS
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/24/2015 12:00,2,Closed Lexington Police Report,800 ROSE ST,2015029737,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed Lexington Police Report,800 ROSE ST
"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CREDIT CARD $500<$10,000/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/26/2015 5:01,2,Closed,310 SOUTH LIMESTONE ST,20152488,"TBUT OR DISP FROM BUILDING U/$500/M, FRAUD USE OF CREDIT CARD $500<$10,000/M",Theft,Closed,310 SOUTH LIMESTONE ST
"CRIMINAL MISCHIEF 3RD/M, TBUT CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,2/26/2015 13:30,2,Open,500 ALUMNI DR,20150497,"CRIMINAL MISCHIEF 3RD/M, TBUT CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",Theft,Open,500 ALUMNI DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,330 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/27/2015 0:30,2,Unfounded,330 HILLTOP AVE,20150508,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Unfounded,330 HILLTOP AVE
"TBUT OR DISP ALL OTHERS U/$500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,2/28/2015 15:06,2,Closed,110 TRANSCRIPT AVE,20150524,"TBUT OR DISP ALL OTHERS U/$500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",Theft,Closed,110 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING,251 SCOTT ST  ,Lexington,Kentucky,United States of America,Theft,3/1/2015 5:00,3,Closed CSA,251 SCOTT ST,CSA20150392,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,251 SCOTT ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",343 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,3/1/2015 13:00,3,Closed,343 SOUTH MARTIN LUTHER KING BLVD,20151068,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,343 SOUTH MARTIN LUTHER KING BLVD
