Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20133112,11/14/2013 - 6:18pm,11/14/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,THEFT OF CONTROLLED SUBSTANCE/F,No,Open
Theft,20133107,11/10/2013 - 6:00am,11/14/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133113,11/14/2013 - 8:30pm,11/14/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20133100,11/12/2013 - 3:00pm,11/13/2013,United States,Kentucky,Lexington,120 PATTERSON DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open
Theft,20133096,11/12/2013 - 5:15pm,11/12/2013,United States,Kentucky,Lexington,1210 UNIVERSITY DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20133097,11/11/2013 - 7:00pm,11/12/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133088,11/08/2013 - 10:00am,11/12/2013,United States,Kentucky,Lexington,COLUMBIA AVE & COLUMBIA TERR,TBUT OR DISP ALL OTHER U/$500/M,No,Open
Theft,20133089,11/10/2013 - 7:00am,11/12/2013,United States,Kentucky,Lexington,740 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133078,11/07/2013 - 8:00pm,11/11/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20133081,11/10/2013 - 4:00pm,11/11/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP PARTS/CONTENTS FROM VEH U/$500/M,No,Closed
Theft,20133084,11/11/2013 - 8:50am,11/11/2013,United States,Kentucky,Lexington,140 PATTERSON DR,TBUT OR DISP BICYCLES U/$500/M,No,Open
Theft,20133086,11/09/2013 - 7:00pm,11/11/2013,United States,Kentucky,Lexington,361 HUGUELET DR,"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M",No,Closed
Theft,20133063,11/08/2013 - 9:30am,11/8/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20133066,11/08/2013 - 12:00pm,11/8/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133049,10/30/2013 - 5:25pm,11/7/2013,United States,Kentucky,Lexington,770 WOODLAND AVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133052,10/14/2013 - 3:45pm,11/7/2013,United States,Kentucky,Lexington,830 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133055,11/03/2013 - 5:00pm,11/7/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",No,Open
Theft,20133038,08/16/2013 - 9:00am,11/6/2013,United States,Kentucky,Lexington,830 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133041,11/06/2013 - 2:30pm,11/6/2013,United States,Kentucky,Lexington,1210 UNIVERSITY DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open
